"","X","sg_d_bg","sg_d_nd","lat","lon","nght_fl","landcvr","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rgh","cn_unc","cn_pho","toc_pho","sb_cn__","beam","filenam","year","month","day","hhmmss","RH_100_ALS","RH_99_ALS","RH_98_ALS","RH_95_ALS","RH_75_ALS","RH_50_ALS","RH_25_ALS"
"0",130993,194926,194930,35.1377182006836,-111.585502624512,0,111,4.74469661712646,18.8642578125,14.944091796875,2.2373046875,0.606689453125,0.704345703125,0.77978515625,0.990966796875,1.098388671875,1.204345703125,1.49853515625,1.942626953125,2.2373046875,4.67330741882324,1.65517437458038,14.8197822570801,123,14,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,22.755,16.19426,15.14208,13.871,10.3585,3.543,0
"1",130994,194931,194935,35.1386184692383,-111.585609436035,0,111,4.84302854537964,21.526611328125,20.561767578125,1.359619140625,0.546630859375,0.626220703125,0.654052734375,0.73779296875,0.7802734375,0.91748046875,1.03173828125,1.1494140625,1.359619140625,5.84135723114014,3.06282782554626,11.7767133712769,131,22,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,26.874,24.70196,23.88132,21.687,13.043,8.447,0
"2",130995,194936,194940,35.139518737793,-111.585708618164,0,111,4.33783340454102,18.754638671875,14.509765625,3.892578125,1.10791015625,1.95166015625,2.751220703125,3.2001953125,3.4541015625,3.58251953125,3.70751953125,3.790283203125,3.892578125,3.11314415931702,3.24671220779419,13.5964994430542,127,150,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,24.008,21.77076,21.13138,19.5348,13.269,7.3405,0
"3",130996,194941,194945,35.1404190063477,-111.585823059082,0,111,5.51379489898682,20.247314453125,18.97314453125,1.4134521484375,0.615478515625,0.68310546875,0.7822265625,0.849365234375,0.905029296875,0.982177734375,1.121826171875,1.276611328125,1.40576171875,5.96472454071045,1.84645354747772,12.1381502151489,222,24,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,22.894,19.27971,18.55478,17.251,13.625,9.7015,0
"4",130997,194946,194950,35.1413154602051,-111.5859375,0,111,4.50237226486206,23.591552734375,21.958251953125,1.66455078125,0.700927734375,0.86962890625,0.977294921875,1.10888671875,1.21875,1.252685546875,1.39794921875,1.490478515625,1.66455078125,5.81997776031494,2.03875398635864,25.3419132232666,165,12,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,27.665,23.61852,22.18004,20.207,15.24325,10.4355,0
"5",130998,194951,194955,35.1422157287598,-111.586036682129,0,111,7.24819755554199,23.574462890625,19.712890625,5.40966796875,2.13671875,2.365966796875,2.80517578125,3.227294921875,3.66162109375,3.980224609375,4.24169921875,4.66015625,5.40966796875,5.2613468170166,2.89781880378723,64.8803787231445,134,23,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,30.285,26.85249,25.79866,23.282,14.1075,7.4545,0
"6",130999,194956,194960,35.1431159973145,-111.586135864258,0,111,4.95623970031738,16.55615234375,14.85009765625,3.585693359375,0.9228515625,1.204345703125,1.647705078125,1.9736328125,2.17431640625,2.379150390625,2.7802734375,3.191650390625,3.572998046875,4.15037155151367,0.939703524112701,31.5094165802002,187,15,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,20.377,17.73866,16.945,15.453,11.013,5.165,0
"7",131000,194961,194965,35.1440162658691,-111.586250305176,0,111,4.86710691452026,20.164794921875,18.532958984375,2.25048828125,0.822998046875,0.96875,1.1669921875,1.3203125,1.541259765625,1.63037109375,1.86328125,2.069580078125,2.25048828125,5.38135099411011,1.84607625007629,36.8665199279785,191,24,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,22.976,20.63404,19.60204,17.1789,11.79,6.446,0
"8",131001,194966,194970,35.1449127197266,-111.586357116699,0,111,5.77736902236938,18.7421875,16.4150390625,4.69140625,1.097900390625,1.306396484375,1.987548828125,2.78466796875,3.303466796875,3.9072265625,4.376708984375,4.52490234375,4.69140625,4.40860414505005,4.66185855865479,42.2923927307129,124,39,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,18.151,16.72224,15.74596,13.6466,7.233,0.875,0
"9",131002,194971,194975,35.1458129882812,-111.586456298828,0,111,5.23045110702515,17.607666015625,16.778564453125,3.177001953125,0.595947265625,0.658203125,0.76025390625,0.821044921875,0.888427734375,1.005859375,1.2197265625,1.837646484375,3.177001953125,5.04206132888794,1.4344881772995,11.5669364929199,151,16,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,21.92,19.86611,18.79136,16.64975,10.0355,4.4735,0
"10",131003,194976,194980,35.1467132568359,-111.586563110352,0,111,5.57553195953369,21.93359375,20.563720703125,2.895751953125,0.708984375,0.83203125,1.049072265625,1.13037109375,1.495849609375,1.855224609375,2.137939453125,2.58203125,2.8720703125,5.67493963241577,3.48332214355469,21.9923706054688,184,24,5,"1l","ATL08_20190306160236_10420202_005_01.h5",2019,3,6,160236,26.44,23.2722,21.4022,18.189,11.0585,4.984,0
