"","X.1","X","sg_d_bg","sg_d_nd","lat","lon","nght_fl","landcvr","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rgh","cn_unc","cn_pho","toc_pho","cn_flag","sb_cn_1","sb_cn_2","sb_cn_3","sb_cn_4","sb_cn_5","ls_flag","beam","filenam","year","month","day","hhmmss","RH_100_ALS","RH_99_ALS","RH_98_ALS","RH_95_ALS","RH_75_ALS","RH_50_ALS","RH_25_ALS","ALS_all_grid","ALS_abvg_grid"
"11",1006,384569,362827,362830,65.2343292236328,-147.388000488281,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,31,0,1,-1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,8.47,5.94,4.3958,3,0.8,0,0,2.18797133406836,2.21678212290503
"12",1007,384570,362831,362835,65.235221862793,-147.388244628906,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,46,0,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,8.81,5.72959999999999,4.87,2.376,0,0,0,2.46981651376147,2.57624521072797
"13",1008,384571,362836,362840,65.2361068725586,-147.388488769531,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,37,0,1,1,1,1,0,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,9.81,6.21740000000002,5.1574,2.7985,0.16,0,0,1.86171140939597,1.92517361111111
"14",100,29555,639410,639414,65.1520309448242,-147.451843261719,1,7,2.08958768844604,7.23031616210938,7.22207641601562,1.05677795410156,0.740325927734375,1.04287719726562,1.29354858398438,1.8939208984375,2.25057983398438,4.29168701171875,4.4708251953125,5.72988891601562,7.06460571289062,2.02864933013916,1.44542849063873,4.6597843170166,48,16,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5",2018,12,26,100839,19.44,14.752,14.16,13.21,8.86,1.14,0,6.78337734537874,6.88373765867419
"15",1009,384572,362846,362850,65.2378921508789,-147.388977050781,0,8,3.08949208259583,10.0948486328125,10.0948486328125,2.64776611328125,1.80511474609375,2.63427734375,3.2684326171875,3.44091796875,3.6268310546875,3.75347900390625,3.9453125,4.45733642578125,7.2698974609375,1.89702558517456,0.953777313232422,30.7118282318115,36,10,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,8.42,2.36,0.557399999999998,0,0,0,0,1.42558704453441,1.64553990610329
"16",1010,384573,362856,362860,65.2396774291992,-147.389450073242,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,32,0,1,0,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,11.83,5.59959999999999,3.86959999999999,2.57,0,0,0,2.53433756805808,2.60425373134328
"17",1011,384574,362861,362865,65.2405700683594,-147.389678955078,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,49,0,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,12.65,3.97,3.6946,3.34,2.2,0.09,0,2.44014340344168,2.47269379844961
"18",1012,395577,362305,362309,65.1352767944336,-147.491149902344,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,14,0,1,1,1,1,1,1,0,"1r","ATL08_20190911091348_11500403_003_01.h5",2019,9,11,91348,23.12,15.2232,14.0848,12.7,4.08,0,0,7.84231141199226,7.96525540275049
"19",1013,395578,362325,362329,65.1388473510742,-147.492141723633,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,34,0,1,1,1,1,1,1,0,"1r","ATL08_20190911091348_11500403_003_01.h5",2019,9,11,91348,21.5,19.86,19.6422,19.15,17.19,12.03,0,16.2346511627907,16.2777881412392
"20",1014,395579,362330,362334,65.1397399902344,-147.492385864258,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,33,0,1,1,1,1,1,1,0,"1r","ATL08_20190911091348_11500403_003_01.h5",2019,9,11,91348,20.11,19.25,18.9784,18.616,16.51,5.08,0,13.4574630872483,13.5206743088334
"21",1015,395580,362335,362339,65.1406326293945,-147.492645263672,1,8,7.70720911026001,19.7966918945312,19.7544860839844,1.5904541015625,0.9166259765625,1.5904541015625,9.76290893554688,15.0517272949219,16.5791320800781,16.9242858886719,17.8888549804688,18.4380798339844,18.9398193359375,7.69961595535278,0.71855217218399,8.57891750335693,44,7,1,1,1,1,1,1,0,"1r","ATL08_20190911091348_11500403_003_01.h5",2019,9,11,91348,21.74,20.08,19.67,19.12,17.67,15.13,0.34,17.3541304347826,17.3769722955145
"22",1016,395581,362340,362344,65.1415252685547,-147.492889404297,1,8,9.21743583679199,20.4135131835938,20.0870666503906,10.3794250488281,0.927978515625,9.65963745117188,13.9768676757812,16.5906372070312,16.9070739746094,17.6875915527344,18.1098022460938,18.8883666992188,19.542724609375,7.74043941497803,0.828830420970917,9.88741111755371,42,10,1,1,1,1,1,1,0,"1r","ATL08_20190911091348_11500403_003_01.h5",2019,9,11,91348,21.36,20.3794,19.92,19.36,17.61,15.04,0.01,17.5795941450432,17.5795941450432
"23",1017,395582,362345,362349,65.1424102783203,-147.493148803711,1,8,9.14883136749268,19.0120849609375,18.97900390625,10.9052581787109,0.969207763671875,10.6519165039062,13.388427734375,15.3773193359375,15.8692321777344,17.1144714355469,17.3551025390625,17.7551879882812,18.4425354003906,7.12863731384277,1.62478196620941,5.79671335220337,42,18,1,1,1,1,1,1,0,"1r","ATL08_20190911091348_11500403_003_01.h5",2019,9,11,91348,20.22,19.04,18.78,18.25,16.19,12.615,0.13,15.2641499330656,15.2845576407507
"24",1018,395583,362350,362354,65.1433029174805,-147.493423461914,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,63,0,1,1,1,1,1,1,0,"1r","ATL08_20190911091348_11500403_003_01.h5",2019,9,11,91348,14.64,10.7371,9.81,8.12,0.1,0,0,4.98356294536817,5.06756038647343
"25",101,29556,639415,639419,65.1511383056641,-147.452072143555,1,7,1.39881229400635,5.81857299804688,2.936279296875,1.26068115234375,0.86553955078125,1.26068115234375,1.45559692382812,1.57180786132812,1.64596557617188,1.68472290039062,1.93017578125,2.36383056640625,2.58990478515625,0.724359452724457,1.01317250728607,3.83418893814087,75,10,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5",2018,12,26,100839,19.3,4.57959999999999,3.9664,3.43,2.29,0.84,0,2.0937037037037,2.14632521489971
