"","seg_id_beg","seg_id_end","lat","lon","night_flag","landcover","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rough","cn_unc","cn_pho","toc_pho","cn_flag","sub_cn_flag1","sub_cn_flag2","sub_cn_flag3","sub_cn_flag4","sub_cn_flag5","ls_flag","beam","filename","year","month","day","hhmmss"
"20910",362794,362798,65.2299499511719,-147.358032226562,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,12,0,1,1,1,1,0,1,0,"1l","ATL08_20181212221423_11500103_003_01.h5","2018","12","12","221423"
"20911",362799,362803,65.230842590332,-147.358276367188,0,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,6,0,1,0,0,1,1,0,0,"1l","ATL08_20181212221423_11500103_003_01.h5","2018","12","12","221423"
"29455",638910,638914,65.2412414550781,-147.428039550781,1,7,1.17259275913239,6.26129150390625,3.9803466796875,0.99481201171875,0.75384521484375,0.99481201171875,1.0673828125,1.2789306640625,1.3519287109375,1.43011474609375,1.53778076171875,1.61248779296875,1.82684326171875,0.779924690723419,1.83343505859375,6.77594137191772,81,2,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
"29456",638915,638919,65.240348815918,-147.428268432617,1,7,1.10817348957062,5.384765625,2.99066162109375,0.884796142578125,0.6500244140625,0.87005615234375,0.99267578125,1.15863037109375,1.197265625,1.29248046875,1.5821533203125,1.8909912109375,2.4378662109375,0.782952189445496,1.23524534702301,5.55102634429932,50,4,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
"29457",638920,638924,65.2394561767578,-147.428497314453,1,7,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,64,0,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
"29458",638925,638929,65.2385635375977,-147.428741455078,1,7,1.07427978515625,3.9154052734375,3.20196533203125,0.90234375,0.69036865234375,0.90234375,0.9400634765625,1.05340576171875,1.20947265625,1.24237060546875,1.52294921875,1.5784912109375,2.86273193359375,0.651084423065186,0.41883385181427,5.34940433502197,61,4,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
"29459",638930,638934,65.2376708984375,-147.428985595703,1,7,1.77407503128052,6.87335205078125,6.87335205078125,1.09564208984375,0.77667236328125,1.09564208984375,1.5762939453125,1.82940673828125,2.19122314453125,2.29150390625,3.356201171875,4.0443115234375,5.50177001953125,1.51756858825684,1.44979202747345,5.41010046005249,35,10,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
"29460",638935,638939,65.2367782592773,-147.429214477539,1,8,1.52761197090149,6.675537109375,4.1458740234375,1.16943359375,0.83416748046875,1.1578369140625,1.3441162109375,1.57855224609375,1.8353271484375,1.9798583984375,2.75396728515625,3.0120849609375,3.64471435546875,1.08707880973816,1.09928405284882,5.48430681228638,53,13,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
"29461",638940,638944,65.2358932495117,-147.429458618164,1,8,1.27815461158752,3.625,3.4205322265625,1.01629638671875,0.87457275390625,1.01629638671875,1.1243896484375,1.24700927734375,1.4241943359375,1.588134765625,1.89117431640625,2.1866455078125,2.89288330078125,0.692394375801086,0.502562999725342,5.52546167373657,59,4,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
"29462",638945,638949,65.2350006103516,-147.429702758789,1,8,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,3.40282346638529e+38,49,0,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5","2018","12","26","100839"
